Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Factorial Calculator/button_Calculate""))",Chrome 89.0.4389.90,,,2021-03-26 15:43:00,2021-03-26 15:43:00,0.435s,PASSED
"verifyElementPresent(findTestObject(""Factorial Calculator/div_The factorial of 3 is 6""), 0)",Chrome 89.0.4389.90,,,2021-03-26 15:43:00,2021-03-26 15:43:02,1.035s,PASSED
,,,,,,,
Test Cases/Factorial Calculator - general cases,Chrome 89.0.4389.90,,,2021-03-26 15:43:02,2021-03-26 15:43:10,8.220s,PASSED
"openBrowser("""")",Chrome 89.0.4389.90,,,2021-03-26 15:43:02,2021-03-26 15:43:04,2.310s,PASSED
"navigateToUrl(""http://qainterview.pythonanywhere.com/"")",Chrome 89.0.4389.90,,,2021-03-26 15:43:04,2021-03-26 15:43:07,3.579s,PASSED
"setText(findTestObject(""Object Repository/Factorial Calculator/input_The greatest factorial calculator_number""), data)",Chrome 89.0.4389.90,,,2021-03-26 15:43:07,2021-03-26 15:43:08,0.801s,PASSED
"click(findTestObject(""Object Repository/Factorial Calculator/button_Calculate""))",Chrome 89.0.4389.90,,,2021-03-26 15:43:08,2021-03-26 15:43:09,0.475s,PASSED
"verifyElementPresent(findTestObject(""Factorial Calculator/div_The factorial of 3 is 6""), 0)",Chrome 89.0.4389.90,,,2021-03-26 15:43:09,2021-03-26 15:43:10,1.043s,PASSED
,,,,,,,
Test Cases/Factorial Calculator - other cases,Chrome 89.0.4389.90,,,2021-03-26 15:43:10,2021-03-26 15:43:18,7.930s,PASSED
"openBrowser("""")",Chrome 89.0.4389.90,,,2021-03-26 15:43:10,2021-03-26 15:43:12,2.281s,PASSED
"navigateToUrl(""http://qainterview.pythonanywhere.com/"")",Chrome 89.0.4389.90,,,2021-03-26 15:43:12,2021-03-26 15:43:16,3.504s,PASSED
"setText(findTestObject(""Object Repository/Factorial Calculator/input_The greatest factorial calculator_number""), data)",Chrome 89.0.4389.90,,,2021-03-26 15:43:16,2021-03-26 15:43:17,0.739s,PASSED
"click(findTestObject(""Object Repository/Factorial Calculator/button_Calculate""))",Chrome 89.0.4389.90,,,2021-03-26 15:43:17,2021-03-26 15:43:17,0.540s,PASSED
